responseID,stimulus.type,number.of.stimuli,stimulus,participant,response.type,response_xsampa,response_ipa,variant,notes,multiple.responses,location,lingclass,participant-birthyear,participant-gender,participant-age
1,colour,3,01-Black,ej-04,ideophone,dojo:n,dojoːn,,see 'ids-semanticanalysis.csv' for more information on ideophone meanings,no,Tokyo,standard japanese,1966,F,52
2,colour,3,01-Black,ej-07,ideophone,bonjari,bonjari,,see 'ids-semanticanalysis.csv' for more information on ideophone meanings,no,Tokyo,standard japanese,1997,F,21
3,colour,3,01-Black,wj-10,ideophone,bonjari,bonjari,,see 'ids-semanticanalysis.csv' for more information on ideophone meanings,no,Kyoto,standard japanese,1993,F,25
1724,colour,3,01-Black,miyako-01,non-ideophone,,,,,no,Miyako,southern ryukyuan,1998,F,20
1725,colour,3,01-Black,miyako-04,non-ideophone,,,,,no,Miyako,southern ryukyuan,1960,F,58
1726,colour,3,01-Black,miyako-06,non-ideophone,,,,,no,Miyako,southern ryukyuan,1955,F,63
1727,colour,3,01-Black,miyako-07,non-ideophone,,,,,no,Miyako,southern ryukyuan,1938,F,80
1728,colour,3,01-Black,miyako-11,non-ideophone,,,,,no,Miyako,southern ryukyuan,1956,F,62
1729,colour,3,01-Black,miyako-12,non-ideophone,,,,,no,Miyako,southern ryukyuan,1955,M,63
1730,colour,3,01-Black,miyako-13,non-ideophone,ffuffu,ffuffu,dialectal,ffu (ffo:) = black,no,Miyako,southern ryukyuan,1951,F,67
1731,colour,3,01-Black,miyako-14,non-ideophone,,,,,no,Miyako,southern ryukyuan,1950,M,68
1732,colour,3,01-Black,miyako-15,non-ideophone,,,,,no,Miyako,southern ryukyuan,1936,M,82
1733,colour,3,01-Black,miyako-16,non-ideophone,ffo:ffu,ffoːffu,dialectal,ffu (ffo:) = black,no,Miyako,southern ryukyuan,1927,M,91
1734,colour,3,01-Black,miyako-17,non-ideophone,ffo:ffu,ffoːffu,dialectal,ffu (ffo:) = black,no,Miyako,southern ryukyuan,1917,F,101
1735,colour,3,01-Black,miyako-19,non-ideophone,,,,,no,Miyako,southern ryukyuan,1953,M,65
1736,colour,3,01-Black,miyako-20,non-ideophone,ffo:ffu,ffoːffu,dialectal,ffu (ffo:) = black,no,Miyako,southern ryukyuan,1966,M,52
1737,colour,3,01-Black,nryu-01,non-ideophone,,,,,no,Amami,northern ryukyuan,1939,M,79
1738,colour,3,01-Black,nryu-02,non-ideophone,,,,,no,Amami,northern ryukyuan,1948,F,70
1739,colour,3,01-Black,nryu-03,non-ideophone,,,,,no,Amami,northern ryukyuan,1972,F,46
1740,colour,3,01-Black,nryu-04,non-ideophone,,,,,no,Amami,northern ryukyuan,1970,M,48
1741,colour,3,01-Black,nryu-05,non-ideophone,,,,,no,Amami,northern ryukyuan,1951,F,67
1742,colour,3,01-Black,nryu-06,non-ideophone,,,,,no,Amami,northern ryukyuan,1941,F,77
1743,colour,3,01-Black,nryu-08,non-ideophone,,,,,no,Amami,northern ryukyuan,1954,M,64
1744,colour,3,01-Black,nryu-12,non-ideophone,,,,,no,Amami,northern ryukyuan,1952,M,66
1745,colour,3,01-Black,nryu-13,non-ideophone,,,,,no,Amami,northern ryukyuan,1955,F,63
1746,colour,3,01-Black,nryu-14,non-ideophone,,,,,no,Amami,northern ryukyuan,1974,M,44
1747,colour,3,01-Black,ej-01,non-ideophone,,,,,no,Tokyo,standard japanese,1968,F,50
1748,colour,3,01-Black,ej-02,non-ideophone,,,,,no,Tokyo,standard japanese,1973,F,45
1749,colour,3,01-Black,ej-03,non-ideophone,,,,,no,Tokyo,tohoku japanese,1996,F,22
1750,colour,3,01-Black,ej-05,non-ideophone,,,,,no,Tokyo,standard japanese,1958,F,60
1751,colour,3,01-Black,ej-06,non-ideophone,,,,,no,Tokyo,standard japanese,1996,F,22
1752,colour,3,01-Black,ej-08,non-ideophone,,,,,no,Tokyo,standard japanese,1990,F,28
1753,colour,3,01-Black,ej-09,non-ideophone,,,,,no,Tokyo,standard japanese,1998,F,20
1754,colour,3,01-Black,ej-10,non-ideophone,,,,,no,Tokyo,standard japanese,1957,F,61
1755,colour,3,01-Black,tohoku-01,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1961,M,57
1756,colour,3,01-Black,tohoku-02,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1966,M,52
1757,colour,3,01-Black,tohoku-03,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1952,F,66
1758,colour,3,01-Black,tohoku-08,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1952,M,66
1759,colour,3,01-Black,tohoku-09,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1946,F,72
1760,colour,3,01-Black,tohoku-10,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1950,M,68
1761,colour,3,01-Black,tohoku-11,non-ideophone,,,,,no,Hachinohe,tohoku japanese,1954,F,64
1762,colour,3,01-Black,wj-01,non-ideophone,,,,,no,Kyoto,standard japanese,1998,F,20
1763,colour,3,01-Black,wj-02,non-ideophone,,,,,no,Kyoto,standard japanese,1969,M,49
1764,colour,3,01-Black,wj-04,non-ideophone,,,,,no,Kyoto,standard japanese,1955,F,63
1765,colour,3,01-Black,wj-08,non-ideophone,,,,,no,Kyoto,standard japanese,1995,F,23
1766,colour,3,01-Black,wj-09,non-ideophone,,,,,no,Kyoto,standard japanese,1961,F,57
1767,colour,3,01-Black,wj-11,non-ideophone,,,,,no,Kyoto,standard japanese,1994,F,24
1768,colour,3,01-Black,wj-12,non-ideophone,,,,,no,Kyoto,standard japanese,1967,F,51
1769,colour,3,01-Black,yaeyama-02,non-ideophone,,,,,no,Ishigaki,southern ryukyuan,1932,F,86
1770,colour,3,01-Black,yaeyama-04,non-ideophone,po:po:,poːpoː,dialectal,po: = black,no,Ishigaki,southern ryukyuan,1925,F,93
1771,colour,3,01-Black,yaeyama-06,non-ideophone,,,,,no,Ishigaki,southern ryukyuan,1933,M,85
1772,colour,3,01-Black,yaeyama-07,non-ideophone,,,,,no,Ishigaki,southern ryukyuan,1936,F,82
1773,colour,3,01-Black,yaeyama-08,non-ideophone,,,,,no,Ishigaki,southern ryukyuan,1932,M,86
